index,Date,Time,Location,Operator,Type,Fatalities,Summary
0,09/17/1908,17:18,Fort Myer_ Virginia,Military - U.S. Army,Wright Flyer III,1.0,During a demonstration flight_ a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet_ killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight_ tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs_ pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.
1,07/12/1912,6:30,AtlantiCity_ New Jersey,Military - U.S. Navy,Dirigible,5.0,First U.S. dirigible Akron exploded just offshore at an altitude of 1_000 ft. during a test flight.
2,08/06/1913,,Victoria_ British Columbia_ Canada,Private,Curtiss seaplane,1.0,The first fatal airplane accident in Canada occurred when American barnstormer_ John M. Bryant_ California aviator was killed.
3,09/09/1913,18:30,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),14.0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
4,10/17/1913,10:30,Near Johannisthal_ Germany,Military - German Navy,Zeppelin L-2 (airship),30.0,Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3_000 ft..
5,03/05/1915,1:00,Tienen_ Belgium,Military - German Navy,Zeppelin L-8 (airship),21.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
6,09/03/1915,15:20,Off Cuxhaven_ Germany,Military - German Navy,Zeppelin L-10 (airship),19.0,Exploded and burned near Neuwerk Island_  when hydrogen gas_ being vented_ was ignited by lightning.
7,07/28/1916,,Near Jambol_ Bulgeria,Military - German Army,Schutte-Lanz S-L-10 (airship),20.0,Crashed near the Black Sea_ cause unknown.
8,09/24/1916,1:00,Billericay_ England,Military - German Navy,Zeppelin L-32 (airship),22.0,Shot down by British aircraft crashing in flames.
9,10/01/1916,23:45,Potters Bar_ England,Military - German Navy,Zeppelin L-31 (airship),19.0,Shot down in flames by the British 39th Home Defence Squadron.
10,11/21/1916,,Mainz_ Germany,Military - German Army,Super Zeppelin (airship),27.0,Crashed in a storm.
11,11/28/1916,23:45,Off West Hartlepool_ England,Military - German Navy,Zeppelin L-34 (airship),20.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
12,03/04/1917,,Near Gent_ Belgium,Military - German Army,Airship,20.0,Caught fire and crashed.
13,03/30/1917,,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),23.0,Struck by lightning and crashed into the BaltiSea.
14,05/14/1917,5:15,Near Texel Island_ North Sea,Military - German Navy,Zeppelin L-22 (airship),21.0,Crashed into the sea from an altitude of 3_000 ft. after being hit by British aircraft fire.
15,06/14/1917,8:45,Off Vlieland Island_ North Sea,Military - German Navy,Zeppelin L-43 (airship),24.0,Shot down by British aircraft
