index,Date,Time,Location,Operator,Type,Fatalities,Summary
0,09/17/1908,17:18,Fort Myerç Virginia,Military - U.S. Army,Wright Flyer III,1.0,During a demonstration flightç a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feetç killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flightç tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribsç pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.
1,07/12/1912,6:30,AtlantiCityç New Jersey,Military - U.S. Navy,Dirigible,5.0,First U.S. dirigible Akron exploded just offshore at an altitude of 1ç000 ft. during a test flight.
2,08/06/1913,,Victoriaç British Columbiaç Canada,Private,Curtiss seaplane,1.0,The first fatal airplane accident in Canada occurred when American barnstormerç John M. Bryantç California aviator was killed.
3,09/09/1913,18:30,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),14.0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
4,10/17/1913,10:30,Near Johannisthalç Germany,Military - German Navy,Zeppelin L-2 (airship),30.0,Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3ç000 ft..
5,03/05/1915,1:00,Tienenç Belgium,Military - German Navy,Zeppelin L-8 (airship),21.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
6,09/03/1915,15:20,Off Cuxhavenç Germany,Military - German Navy,Zeppelin L-10 (airship),19.0,Exploded and burned near Neuwerk Islandç  when hydrogen gasç being ventedç was ignited by lightning.
7,07/28/1916,,Near Jambolç Bulgeria,Military - German Army,Schutte-Lanz S-L-10 (airship),20.0,Crashed near the Black Seaç cause unknown.
8,09/24/1916,1:00,Billericayç England,Military - German Navy,Zeppelin L-32 (airship),22.0,Shot down by British aircraft crashing in flames.
9,10/01/1916,23:45,Potters Barç England,Military - German Navy,Zeppelin L-31 (airship),19.0,Shot down in flames by the British 39th Home Defence Squadron.
10,11/21/1916,,Mainzç Germany,Military - German Army,Super Zeppelin (airship),27.0,Crashed in a storm.
11,11/28/1916,23:45,Off West Hartlepoolç England,Military - German Navy,Zeppelin L-34 (airship),20.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
12,03/04/1917,,Near Gentç Belgium,Military - German Army,Airship,20.0,Caught fire and crashed.
13,03/30/1917,,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),23.0,Struck by lightning and crashed into the BaltiSea.
14,05/14/1917,5:15,Near Texel Islandç North Sea,Military - German Navy,Zeppelin L-22 (airship),21.0,Crashed into the sea from an altitude of 3ç000 ft. after being hit by British aircraft fire.
15,06/14/1917,8:45,Off Vlieland Islandç North Sea,Military - German Navy,Zeppelin L-43 (airship),24.0,Shot down by British aircraft.
16,08/21/1917,7:00,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),18.0,Shot down by British aircraft.
17,10/20/1917,7:45,Near Lunevilleç France,Military - German Navy,Zeppelin L-44 (airship),18.0,Shot down by French anti-aircraft fire.
18,04/07/1918,21:30,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),23.0,Exploded and crashed into the sea off the southern coast of Italy.
19,05/10/1918,,Off Helgoland Islandç Germany,Military - German Navy,Zeppelin L-70 (airship),22.0,Shot down by British aircraft crashing from a height of 17ç000 ft.
20,08/11/1918,10:00,Ameland Islandç North Sea,Military - German Navy,Zeppelin L-53 (airship),19.0,Shot down by british aircraft.
21,12/16/1918,,Elizabethç New Jersey,US Aerial Mail Service,De Havilland DH-4,1.0,
22,05/25/1919,,Clevelandç Ohio,US Aerial Mail Service,De Havilland DH-4,1.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
23,07/19/1919,,Dix Runç Pennsylvania,US Aerial Mail Service,De Havilland DH-4,1.0,
24,10/02/1919,,Newcastleç England,Aircraft Transport and Travel,De Havilland DH-4,1.0,
25,10/14/1919,,Cantonsvilleç Maryland,US Aerial Mail Service,Curtiss R-4LM,1.0,
26,10/20/1919,,English Channel,Aircraft Transport and Travel,De Havilland DH-4,,
27,10/30/1919,,Long Valleyç New Jersey,US Aerial Mail Service,De Havilland DH.4,1.0,
28,03/10/1920,,New Parisç Indiana,US Aerial Mail Service,De Havilland DH-4,1.0,
29,03/30/1920,,Newarkç New Jersey,US Aerial Mail Service,De Havilland DH-4,1.0,
30,04/10/1920,,Newarkç New Jersey,US Aerial Mail Service,Curtiss R-4LM,1.0,
31,04/11/1920,,Heller Fieldç New Jersey,US Aerial Mail Service,Curtiss JN-4H,1.0,
32,05/12/1920,,Oskaloosaç Iowa,US Aerial Mail Service,De Havilland DH-4,1.0,
33,06/06/1920,,Clevelandç Ohio,US Aerial Mail Service,De Havilland DH-4,1.0,
34,08/16/1920,,Bedfordç England,By Air,Armstrong-Whitworth F-K-8,1.0,
35,08/16/1920,,College Parkç Maryland,US Aerial Mail Service,De Havilland DH-4,1.0,
36,09/01/1920,,Morristownç New Jersey,US Aerial Mail Service,Junkers JL-6,2.0,
37,09/15/1920,,Pembervilleç Ohio,US Aerial Mail Service,Junkers F-13,2.0,
38,09/27/1920,,Hillersburgç Pennsylvania,US Aerial Mail Service,De Havilland DH-4,1.0,
39,10/02/1920,,Off Port Vendresç France,Latecoere Airlines,Salmson 2-A-2,2.0,
40,10/05/1920,,Valenciaç Spain,Latecoere Airlines,Breguet 14,2.0,Crashed while landing.
41,10/15/1920,,Bataviaç Illinois,US Aerial Mail Service,De Havilland DH-4,1.0,
42,11/07/1920,,Tie Sidingç Wyoming,US Aerial Mail Service,De Havilland DH-4,1.0,
43,12/14/1920,,Cricklewoodç England,Handley Page Transport,Handley Page HP-16,4.0,Crashed into a tree on take off in fog.
44,12/24/1920,,Barcelonaç Spain,Aeropostale,Breguet 14,1.0,
45,02/03/1921,,Mendottaç Minnisota,US Aerial Mail Service,De Havilland DH-4,1.0,
46,02/09/1921,,La Crosseç Wisconsin,US Aerial Mail Service,Junkers F-13,3.0,
47,02/15/1921,,Off Gibraltar,Aeropostale,Breguet 14,2.0,
48,02/22/1921,,Elkoç Nevada,US Aerial Mail Service,De Havilland DH-4,1.0,
49,04/06/1921,,Point Cookç Australia,Military - Royal Australian Air Force,,1.0,
50,04/21/1921,,Mitchel Fieldç NY,US Aerial Mail Service,De Havilland DH-4,1.0,
51,04/29/1921,,Clevelandç Ohio,US Aerial Mail Service,De Havilland DH-4,1.0,
52,05/17/1921,,Rock Springsç Wyoming,US Aerial Mail Service,,1.0,
53,07/16/1921,,San Franciscoç California,US Aerial Mail Service,De Havilland DH-4,1.0,
54,08/14/1921,,Toulouseç France,Aeropostale,Breguet 14,2.0,
55,08/24/1921,17:40,River Humberç England,Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),46.0,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
56,09/06/1921,,Parisç France,Franco-Roumaine,Potez IX,5.0,Crashed while making an approach to Le Bourget Airport in Paris.
57,12/05/1921,,Near Murchinson Riverç Australia,West Australian Airways,Bristol 28 Tourer,3.0,
58,01/14/1922,,Parisç France,Handley Page Transport,Handley Page O/10,5.0,Crashed at Le Bourget field.
59,02/21/1922,,Near Norfolkç Virginia,Military - U.S. Army Air Service,Dirigible Roma (airship),34.0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
60,04/07/1922,,Grandvilliersç France,Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,7.0,A midair collision occurred in poor visibility approximately 18 miles north of Beauvaisç France. This was the  first commercial midair collision in aviation history. Two killed on the de Havillandç five on the Faman F-60.
61,04/08/1922,,Pao Ting Fouç China,,,17.0,All seventeen aboard were Chinese nationals.
62,04/13/1922,,Brooklandsç England,Vickers,Vickers Viking,3.0,
63,10/01/1925,,Nittany Mtç Ohio,US Aerial Mail Service,De Havilland DH-4,1.0,
64,06/03/1922,,Off Folkestoneç Kentç England,Cie des Messageries Aeriennes,Bleriot Spad 27,3.0,
65,07/26/1922,,Cadixç Spain,Grands Express Aeriens,Breguet 14,3.0,
66,09/07/1922,,Indianapolisç Indiana,US Aerial Mail Service,De Havilland DH-4,1.0,
67,10/02/1922,,Veniceç Italy,,de Havilland DH-9,4.0,
68,10/25/1922,,Laracheç Morocco,Grands Express Aeriens,Breguet 14,2.0,
69,12/03/1922,,Fezç Morocco,Grands Express Aeriens,Breguet 14,1.0,
70,01/10/1923,,Ajaccioç France,Amee de l'Air,Lioré-et-Olivier H-13,3.0,
71,01/17/1923,,Barcelonaç Spain,Grands Express Aeriens,Breguet 14,1.0,
72,01/18/1923,,Cheyenneç Wyoming,US Aerial Mail Service,De Havilland DH-4,1.0,
73,02/26/1923,,Meadvilleç Pennsylvania,US Aerial Mail Service,De Havilland DH-4,1.0,
74,05/14/1923,,Monsuresç France,Grands Express Aeriens,Farman F-60 Goliath,6.0,
75,08/27/1923,,Bucharestç Romania,Campagnie France Roumaine,Blériot Spad 46,2.0,
76,09/07/1923,,Coltonç Ohio,US Aerial Mail Service,De Havilland DH-4,1.0,
77,09/14/1923,,Berksç England,Daimler Airways,de Havilland DH-34,6.0,
78,11/18/1923,,Russia,CCCP,Junkers F-13,2.0,
79,12/06/1923,,Castaliaç Ohio,US Aerial Mail Service,De Havilland DH-4,1.0,
80,12/23/1923,2:30,Over the Mediterranean Sea,Military - French Navy,Zeppelin Dixmunde (airship),52.0,Crashed while on a flight from Toulonç France to Algiersç Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.
81,12/24/1923,,Egbertç WY,US Aerial Mail Service,De Havilland DH-4,1.0,
82,03/07/1924,,Grampianç Pennsylvania,US Aerial Mail Service,De Havilland DH-4,1.0,
83,04/24/1924,,Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,3.0,
84,06/08/1924,,Barranquillaç Colombia,SCADTA,Junkers F-13,3.0,
85,08/01/1924,,United States,US Aerial Mail Service,De Havilland DH-4,1.0,
86,11/06/1924,,Cabrerollesç France,Grands Express Aeriens,,1.0,
87,12/21/1924,,Goshenç Indiana,US Aerial Mail Service,De Havilland DH-4,1.0,
88,12/24/1924,,Purleyç England,Imperial Airways,de Havilland DH-34B,8.0,Shortly after taking offç witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.
89,03/22/1925,,Near Tifliesç Georgiaç USSR,Zakavia,Junkers F-13,5.0,
90,04/25/1925,,Alicanteç Spain,Grands Express Aeriens,Breguet 14,4.0,
91,05/25/1925,,Alicanteç Spain,Lignes Aeriennes Latecoere,Breguet 14,2.0,
92,06/25/1925,,Landréciesç France,KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4.0,Crashed in poor weather.
93,06/26/1925,,Alicanteç Spain,Grands Express Aeriens,Lioré-et-Olivier H-13,2.0,
94,07/20/1925,,Rosasç Spain,Lignes Aeriennes Latecoere,Breguet 14,1.0,
95,07/24/1925,,Budapestç Hungary,CIDNA,Potez IX,1.0,
96,09/03/1925,5:30,Caldwellç Ohio,Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),14.0,The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure heightç then falling and rising againç her hull structure was overstressed amidshipsç breaking the airship in two. Shenandoah's external control car and two engine cars fell freeç carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearbyç while several men were able to fly the bow section to ground as a free balloon.
97,09/07/1925,,Toulç France,CIDNA,,3.0,
98,11/14/1925,,Off Boulogne-sur-Merç France,Air Union,Farman F-60 Goliath,2.0,
